time,bar_i,type,side,pnl,balance
2025-01-30 07:30:00,17793,partial,BUY,189.055999999991,15810.626341413543
2025-01-30 08:30:00,17797,final,BUY,121.20750139797111,15931.833842811515
2025-01-30 09:30:00,17801,final,BUY,-160.60302078240375,15771.23082202911
2025-01-30 10:45:00,17806,partial,BUY,229.4781999999987,16000.70902202911
2025-01-30 11:00:00,17807,final,BUY,113.06208937658266,16113.771111405693
2025-01-30 19:00:00,17835,partial,BUY,186.8336504953084,16300.604761901
2025-01-31 05:30:00,17877,final,BUY,0.0,16300.604761901
2025-01-31 10:15:00,17896,final,BUY,-164.05114585446245,16136.553616046538
2025-01-31 11:15:00,17900,final,BUY,-160.29432924721914,15976.259286799319
2025-01-31 13:15:00,17908,final,BUY,-161.44168248528737,15814.817604314032
2025-02-03 10:15:00,17988,final,BUY,-157.9560496935801,15656.861554620453
2025-02-04 10:30:00,18081,final,BUY,-157.1028955871716,15499.758659033281
2025-02-05 05:30:00,18153,partial,BUY,180.58124101790344,15680.339900051185
2025-02-05 06:00:00,18155,final,BUY,0.0,15680.339900051185
2025-02-05 11:00:00,18175,final,BUY,-157.289212289053,15523.050687762132
2025-02-05 13:15:00,18184,final,BUY,-153.63661635697008,15369.414071405161
2025-02-07 05:15:00,18336,final,BUY,-152.74029940195032,15216.67377200321
2025-02-07 11:00:00,18359,final,BUY,-153.32139977122097,15063.35237223199
2025-02-10 05:00:00,18427,partial,BUY,175.65060937768214,15239.002981609672
2025-02-10 08:15:00,18440,final,BUY,107.54118941490742,15346.54417102458
2025-02-10 11:15:00,18452,final,BUY,-153.69238638460777,15192.851784639972
2025-02-10 13:15:00,18460,final,SELL,-150.05207612912227,15042.799708510849
2025-02-10 21:30:00,18489,final,BUY,-153.97497465739707,14888.824733853453
2025-02-11 04:00:00,18515,final,BUY,-150.6667882417969,14738.157945611656
2025-02-13 03:30:00,18697,final,BUY,-151.8474165588841,14586.310529052771
2025-02-14 07:30:00,18805,final,BUY,-146.89749197642186,14439.413037076349
2025-02-16 21:30:00,18857,final,SELL,-147.01462586220987,14292.398411214139
2025-02-18 10:00:00,18989,partial,BUY,168.24499999999708,14460.643411214136
2025-02-18 14:30:00,19007,final,BUY,109.41410780898195,14570.057519023117
2025-02-18 19:45:00,19024,final,BUY,-143.83674378710884,14426.220775236008
2025-02-19 01:00:00,19045,final,SELL,-146.2303816575627,14279.990393578446
2025-02-25 12:45:00,19460,final,SELL,-137.72536644973297,14142.265027128713
2025-02-27 03:15:00,19606,partial,SELL,166.3311857496739,14308.596212878387
2025-02-27 04:15:00,19610,final,SELL,0.0,14308.596212878387
2025-02-27 05:45:00,19616,final,SELL,-142.00395004685424,14166.592262831533
2025-02-28 04:15:00,19702,final,SELL,-145.30022273349462,14021.292040098038
2025-02-28 10:15:00,19726,final,SELL,-139.74030008797126,13881.551740010067
2025-03-04 09:00:00,19905,final,BUY,-135.96066283892287,13745.591077171144
2025-03-06 05:30:00,20075,final,SELL,-137.81681508404745,13607.774262087096
2025-03-11 08:30:00,20367,partial,BUY,160.7804951639785,13768.554757251075
2025-03-11 08:30:00,20367,final,BUY,0.0,13768.554757251075
2025-03-13 04:30:00,20535,partial,BUY,159.39000000000115,13927.944757251076
2025-03-13 09:15:00,20554,final,BUY,94.56856010282083,14022.513317353898
2025-03-13 11:30:00,20563,partial,BUY,166.58095896284428,14189.094276316742
2025-03-13 22:45:00,20604,final,BUY,112.72395719290489,14301.818233509646
2025-03-18 00:15:00,20794,final,BUY,-144.0044760030869,14157.81375750656
2025-03-18 03:15:00,20806,partial,BUY,163.83023764290374,14321.643995149463
2025-03-18 06:30:00,20819,final,BUY,100.30422712830843,14421.948222277771
2025-03-18 22:45:00,20880,partial,BUY,167.21350977786022,14589.161732055632
2025-03-19 00:45:00,20888,final,BUY,104.50844361116425,14693.670175666797
2025-03-21 09:45:00,21108,final,SELL,-143.52976506853477,14550.140410598262
2025-03-25 07:00:00,21281,final,BUY,-143.94344190649826,14406.196968691764
2025-03-25 09:30:00,21291,final,BUY,-146.6480412007504,14259.548927491014
2025-03-25 10:30:00,21295,final,BUY,-140.24063230392494,14119.30829518709
2025-03-27 05:00:00,21457,partial,BUY,185.6868999999954,14304.995195187084
2025-03-27 05:15:00,21458,final,BUY,101.8713246782495,14406.866519865334
2025-03-27 08:00:00,21469,final,BUY,-146.4318719619141,14260.434647903421
2025-03-27 11:30:00,21483,final,BUY,-141.81681551351312,14118.617832389908
2025-03-28 00:30:00,21531,partial,BUY,164.7475649561841,14283.365397346091
2025-03-28 01:45:00,21536,final,BUY,111.48331463199884,14394.848711978091
2025-03-28 03:00:00,21541,final,BUY,-144.37470136856518,14250.474010609527
2025-03-31 02:00:00,21621,partial,BUY,214.43799999999976,14464.912010609527
2025-03-31 09:30:00,21651,final,BUY,0.0,14464.912010609527
2025-04-02 20:15:00,21874,final,BUY,-145.67293998617606,14319.239070623351
2025-04-03 09:45:00,21928,final,SELL,-146.69116900189692,14172.547901621454
2025-04-06 18:00:00,22049,partial,SELL,155.8753355848307,14328.423237206285
2025-04-06 19:15:00,22054,final,SELL,111.33952541773762,14439.762762624023
2025-04-09 08:30:00,22291,final,BUY,-142.48347731940157,14297.279285304621
2025-04-09 13:15:00,22310,final,BUY,-149.07209915418116,14148.207186150441
2025-04-09 23:15:00,22346,partial,BUY,160.27733192988626,14308.484518080328
2025-04-10 10:15:00,22390,final,BUY,114.48380852134778,14422.968326601676
2025-04-10 19:45:00,22424,partial,BUY,177.02040250039715,14599.988729102073
2025-04-10 20:30:00,22427,final,BUY,94.83235848235563,14694.821087584429
2025-04-11 09:30:00,22479,partial,BUY,170.56899999999976,14865.390087584428
2025-04-14 08:30:00,22567,final,BUY,0.0,14865.390087584428
2025-04-15 23:15:00,22714,partial,BUY,177.98211883891895,15043.372206423348
