threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score
0.65,0.3,2.0,2.5,True,10000.0,12261.61544949748,2261.61544949748,22.616154494974804,138,194,40.57971014492754,59.42028985507246,1.22069351674977,16.388517749981776,223.381806106452,-124.97275234711987,1.7874440780978773,434.54233857228047,-176.14578118566897,6,15,-2484.443322545985,-17.264001941525528,4456,2.0803689138346946,0.013375328856737163,3.802538283317248,0.16658534276012205,-0.9677471070596004,81,0.9103107440502375,11.657811595347862,126.50877978623737,1.4676506321659497
0.65,0.35,2.0,2.5,True,10000.0,12261.61544949748,2261.61544949748,22.616154494974804,138,194,40.57971014492754,59.42028985507246,1.22069351674977,16.388517749981776,223.381806106452,-124.97275234711987,1.7874440780978773,434.54233857228047,-176.14578118566897,6,15,-2484.443322545985,-17.264001941525528,4456,2.0803689138346946,0.013375328856737163,3.802538283317248,0.16658534276012205,-0.9677471070596004,81,0.9103107440502375,11.657811595347862,126.50877978623737,1.4676506321659497
0.65,0.4,2.0,2.5,True,10000.0,12261.61544949748,2261.61544949748,22.616154494974804,138,194,40.57971014492754,59.42028985507246,1.22069351674977,16.388517749981776,223.381806106452,-124.97275234711987,1.7874440780978773,434.54233857228047,-176.14578118566897,6,15,-2484.443322545985,-17.264001941525528,4456,2.0803689138346946,0.013375328856737163,3.802538283317248,0.16658534276012205,-0.9677471070596004,81,0.9103107440502375,11.657811595347862,126.50877978623737,1.4676506321659497
0.7,0.4,3.0,2.0,True,10000.0,11209.979208828156,1209.9792088281556,12.099792088281557,68,99,45.588235294117645,54.41176470588235,1.2942337754583015,17.793811894531782,171.68660742728963,-111.14339517345454,1.544730635224424,280.19322870039304,-153.69813894657364,4,7,-792.7761287231333,-6.68233713068092,4456,1.7786463444083789,0.011435462055835064,1.3893535621941258,0.11661046065590824,-1.1921028457643899,81,1.5262558558328199,12.222012210385465,102.08576125703738,1.3197361421940907
0.7,0.35,3.0,2.0,True,10000.0,11209.979208828156,1209.9792088281556,12.099792088281557,68,99,45.588235294117645,54.41176470588235,1.2942337754583015,17.793811894531782,171.68660742728963,-111.14339517345454,1.544730635224424,280.19322870039304,-153.69813894657364,4,7,-792.7761287231333,-6.68233713068092,4456,1.7786463444083789,0.011435462055835064,1.3893535621941258,0.11661046065590824,-1.1921028457643899,81,1.5262558558328199,12.222012210385465,102.08576125703738,1.3197361421940907
0.7,0.3,3.0,2.0,True,10000.0,11209.979208828156,1209.9792088281556,12.099792088281557,68,99,45.588235294117645,54.41176470588235,1.2942337754583015,17.793811894531782,171.68660742728963,-111.14339517345454,1.544730635224424,280.19322870039304,-153.69813894657364,4,7,-792.7761287231333,-6.68233713068092,4456,1.7786463444083789,0.011435462055835064,1.3893535621941258,0.11661046065590824,-1.1921028457643899,81,1.5262558558328199,12.222012210385465,102.08576125703738,1.3197361421940907
0.65,0.35,3.0,2.5,True,10000.0,11570.91134531764,1570.9113453176396,15.709113453176403,105,147,40.0,60.0,1.2168215914705953,14.96106043159659,209.90692440946316,-115.00284888698113,1.825232387205893,322.4674623878156,-151.75916928930474,5,11,-1947.2823293089914,-15.341325789903545,4442,1.7316003830138404,0.01113298916227821,2.029384067984619,0.11044316069096688,-1.224174725825685,81,0.8067198688518321,10.686471736854706,117.38718566921725,1.3101459437270897
0.65,0.3,3.0,2.5,True,10000.0,11570.91134531764,1570.9113453176396,15.709113453176403,105,147,40.0,60.0,1.2168215914705953,14.96106043159659,209.90692440946316,-115.00284888698113,1.825232387205893,322.4674623878156,-151.75916928930474,5,11,-1947.2823293089914,-15.341325789903545,4442,1.7316003830138404,0.01113298916227821,2.029384067984619,0.11044316069096688,-1.224174725825685,81,0.8067198688518321,10.686471736854706,117.38718566921725,1.3101459437270897
0.65,0.4,3.0,2.5,True,10000.0,11570.91134531764,1570.9113453176396,15.709113453176403,105,147,40.0,60.0,1.2168215914705953,14.96106043159659,209.90692440946316,-115.00284888698113,1.825232387205893,322.4674623878156,-151.75916928930474,5,11,-1947.2823293089914,-15.341325789903545,4442,1.7316003830138404,0.01113298916227821,2.029384067984619,0.11044316069096688,-1.224174725825685,81,0.8067198688518321,10.686471736854706,117.38718566921725,1.3101459437270897
0.7,0.3,3.0,2.5,True,10000.0,11474.559382643678,1474.559382643678,14.745593826436787,62,89,43.54838709677419,56.451612903225815,1.3732179398335385,23.7832158490916,200.94419288150112,-112.88382357590999,1.780097329413846,317.30644865631047,-153.69813894657364,3,7,-830.5651216934639,-7.130125085908645,4442,2.067192029788759,0.013290610633805915,1.7231429672931273,0.16540212998888598,-0.9724951832944717,81,1.7753687749819727,16.56808295105258,114.11744747899309,1.2697060141585048
0.7,0.35,3.0,2.5,True,10000.0,11474.559382643678,1474.559382643678,14.745593826436787,62,89,43.54838709677419,56.451612903225815,1.3732179398335385,23.7832158490916,200.94419288150112,-112.88382357590999,1.780097329413846,317.30644865631047,-153.69813894657364,3,7,-830.5651216934639,-7.130125085908645,4442,2.067192029788759,0.013290610633805915,1.7231429672931273,0.16540212998888598,-0.9724951832944717,81,1.7753687749819727,16.56808295105258,114.11744747899309,1.2697060141585048
0.7,0.4,3.0,2.5,True,10000.0,11474.559382643678,1474.559382643678,14.745593826436787,62,89,43.54838709677419,56.451612903225815,1.3732179398335385,23.7832158490916,200.94419288150112,-112.88382357590999,1.780097329413846,317.30644865631047,-153.69813894657364,3,7,-830.5651216934639,-7.130125085908645,4442,2.067192029788759,0.013290610633805915,1.7231429672931273,0.16540212998888598,-0.9724951832944717,81,1.7753687749819727,16.56808295105258,114.11744747899309,1.2697060141585048
0.7,0.3,2.5,2.0,True,10000.0,10862.320282869461,862.3202828694612,8.62320282869462,82,119,45.1219512195122,54.87804878048781,1.1688111474378224,10.516101010603114,161.36528169112873,-113.51544754894019,1.4215270712081625,280.10963243754003,-146.59700113479266,4,7,-1186.054847618334,-9.858600042931307,4456,1.2142862191344423,0.00780701797605197,1.3801326698192162,0.054527200095802184,-1.6024578541859653,81,0.7270492461634886,7.246388931676097,101.11722994566048,1.2559256385474855
