time,magic,approved,reason,volume,executive_stop,disaster_stop,requested_risk_cash,authorized_risk_cash,existing_portfolio_risk_cash,throttle
2023-08-15 01:00:00+00:00,6002,True,APPROVED,0.02,14890.583625,14776.458499999999,263.8023210000029,182.60020000000077,178.9912000000004,1.0
2023-08-21 10:00:00+00:00,6001,True,APPROVED,0.03,14520.588375,14435.871500000001,263.6088270000029,203.32049999999907,0.0,1.0
2023-08-21 21:00:00+00:00,6002,True,APPROVED,0.03,14611.027499999998,14502.927,263.84558700000287,259.44120000000004,203.32049999999907,1.0
2023-08-23 08:00:00+00:00,6001,True,APPROVED,0.04,14759.939,14687.469000000001,263.79237600000295,231.90399999999937,0.0,1.0
2023-08-23 08:00:00+00:00,6002,True,APPROVED,0.04,14759.939,14687.469000000001,263.7868760000029,231.90399999999937,231.90399999999937,1.0
2023-08-28 02:00:00+00:00,6001,True,APPROVED,0.02,14518.347125,14375.300500000001,263.67257600000295,228.87459999999993,0.0,1.0
2023-08-28 03:00:00+00:00,6002,True,APPROVED,0.02,14562.93525,14428.748,263.68783600000296,214.69960000000066,228.87459999999993,1.0
2023-08-29 02:00:00+00:00,6002,True,APPROVED,0.02,14692.065812499999,14569.444749999999,263.79182800000297,196.19370000000055,228.87459999999993,1.0
2023-09-04 12:00:00+00:00,6001,True,APPROVED,0.04,15327.207750000001,15258.594000000001,264.670168000003,219.56399999999994,196.19370000000055,1.0
2023-09-08 18:00:00+00:00,6001,True,APPROVED,0.03,15013.599625,14912.9465,264.53400800000304,241.56750000000065,0.0,1.0
2023-09-11 13:00:00+00:00,6002,True,APPROVED,0.04,15158.8235,15082.865,264.518480000003,243.0672000000006,0.0,1.0
2023-09-13 19:00:00+00:00,6001,True,APPROVED,0.03,15142.293625,15055.358500000002,264.41398000000305,208.64429999999885,0.0,1.0
2023-09-13 19:00:00+00:00,6002,True,APPROVED,0.03,15142.293625,15055.358500000002,264.40985500000306,208.64429999999885,208.64429999999885,1.0
2023-09-14 17:00:00+00:00,6001,True,APPROVED,0.03,15204.671750000001,15111.896,264.52000000000305,222.6617999999995,208.64429999999885,1.0
2023-09-28 18:00:00+00:00,6001,True,APPROVED,0.02,14398.730875000001,14285.1815,264.02323900000306,181.6790000000001,0.0,1.0
2023-09-28 20:00:00+00:00,6002,True,APPROVED,0.02,14334.807750000002,14216.204000000002,263.97172900000305,189.76599999999962,181.6790000000001,1.0
2023-10-03 00:00:00+00:00,6002,True,APPROVED,0.02,14458.76625,14332.442000000003,263.92913900000303,202.11879999999874,0.0,1.0
2023-10-03 01:00:00+00:00,6001,True,APPROVED,0.02,14465.338312500002,14340.094750000002,263.92971900000305,200.389699999999,202.11879999999874,1.0
2023-10-04 19:00:00+00:00,6001,True,APPROVED,0.02,14290.127125,14162.4665,263.81842700000306,204.25699999999998,0.0,1.0
2023-10-05 00:00:00+00:00,6002,True,APPROVED,0.02,14372.9565,14242.349,263.9073470000031,208.97200000000012,204.25699999999998,1.0
2023-10-06 07:00:00+00:00,6001,True,APPROVED,0.03,14440.890625,14353.6945,263.8045670000031,209.27070000000094,0.0,1.0
2023-10-06 18:00:00+00:00,6002,True,APPROVED,0.02,14536.599624999999,14411.906499999997,263.69070200000306,199.50900000000112,0.0,1.0
2023-10-12 00:00:00+00:00,6001,True,APPROVED,0.03,15023.846125000002,14940.468500000003,264.0512520000031,200.1062999999991,199.50900000000112,1.0
2023-10-16 19:00:00+00:00,6001,True,APPROVED,0.02,14842.520499999999,14727.871,263.73832200000305,183.4392000000007,0.0,1.0
2023-10-23 19:00:00+00:00,6001,True,APPROVED,0.02,14337.027999999998,14216.291,263.69156200000305,193.17920000000018,0.0,1.0
2023-10-24 12:00:00+00:00,6001,True,APPROVED,0.03,14409.972875,14314.2675,263.6971720000031,229.6929,0.0,1.0
2023-10-30 19:00:00+00:00,6001,True,APPROVED,0.03,14025.472125,13915.9065,263.61759400000307,262.95750000000044,0.0,1.0
2023-10-31 00:00:00+00:00,6002,True,APPROVED,0.03,13989.702125000002,13880.8865,263.5564390000031,261.1575000000004,262.95750000000044,1.0
2023-10-31 17:00:00+00:00,6001,True,APPROVED,0.03,14042.640625,13938.2945,263.37127900000314,250.43070000000006,0.0,1.0
2023-10-31 18:00:00+00:00,6002,True,APPROVED,0.03,14076.326874999999,13969.4095,263.42925400000314,256.6017,250.43070000000006,1.0
2023-11-07 15:00:00+00:00,6001,True,APPROVED,0.05,15040.681625000001,14979.426500000001,265.7719960000031,245.02049999999872,256.6017,1.0
2023-11-09 07:00:00+00:00,6001,True,APPROVED,0.06,15170.004875,15119.5535,265.99161900000314,242.16660000000047,256.6017,1.0
2023-11-10 18:00:00+00:00,6001,True,APPROVED,0.03,15193.188125,15106.184500000001,265.41182400000315,208.8086999999996,0.0,1.0
2023-11-10 18:00:00+00:00,6002,True,APPROVED,0.03,15193.188125,15106.184500000001,265.40769900000316,208.8086999999996,208.8086999999996,1.0
2023-11-16 15:00:00+00:00,6001,True,APPROVED,0.04,15601.486374999999,15526.195499999998,266.4829590000031,240.9308000000019,208.8086999999996,1.0
2023-11-17 19:00:00+00:00,6002,True,APPROVED,0.04,15645.569875000001,15577.2075,266.4177390000031,218.75960000000052,0.0,1.0
2023-11-20 16:00:00+00:00,6001,True,APPROVED,0.05,15749.121500000001,15684.439000000002,266.30222300000315,258.7299999999978,0.0,1.0
2023-11-22 12:00:00+00:00,6001,True,APPROVED,0.06,15819.791875,15766.889500000001,266.20852300000314,253.93139999999838,0.0,1.0
2023-11-23 11:00:00+00:00,6001,True,APPROVED,0.05,15854.392875000001,15796.507500000002,266.2816330000032,231.54149999999936,0.0,1.0
2023-11-29 02:00:00+00:00,6001,True,APPROVED,0.04,15818.078375,15746.3815,266.26243300000317,229.4300000000003,0.0,1.0
2023-11-29 02:00:00+00:00,6002,True,APPROVED,0.04,15818.078375,15746.3815,266.2569330000032,229.4300000000003,229.4300000000003,1.0
2023-12-01 19:00:00+00:00,6001,True,APPROVED,0.03,15697.347125,15608.9065,266.0692330000032,212.25750000000045,0.0,1.0
2023-12-06 00:00:00+00:00,6001,True,APPROVED,0.03,15607.488125000002,15509.254500000001,266.0253730000032,235.76069999999964,0.0,1.0
