magic,entry_time,exit_time,volume,entry_price,exit_price,executive_stop,disaster_stop,exit_reason,net_pnl,cash_after
6002,2021-11-09 10:00:00+00:00,2021-11-09 18:00:00+00:00,0.05,16359.509,16214.437,16189.987625000002,16133.480500000003,signal_exit,-145.37200000000016,104230.78440000069
6001,2021-11-12 18:00:00+00:00,2021-11-15 19:00:00+00:00,0.04,16184.019,16134.659,15952.322250000001,15875.090000000002,signal_exit,-39.72800000000046,104190.93640000069
6002,2021-11-15 01:00:00+00:00,2021-11-15 19:00:00+00:00,0.04,16238.499,16134.659,16005.328500000001,15927.605000000001,signal_exit,-83.31200000000013,104107.7444000007
6001,2021-11-16 08:00:00+00:00,2021-11-17 21:00:00+00:00,0.05,16202.727,16315.269,16018.804500000002,15957.497000000001,signal_exit,112.24199999999946,104219.8664000007
6002,2021-11-16 18:00:00+00:00,2021-11-22 21:00:00+00:00,0.04,16299.049,16382.298999999999,16063.612375,15985.133500000002,signal_exit,66.35999999999854,104286.3464000007
6001,2021-11-25 00:00:00+00:00,2021-11-26 00:00:00+00:00,0.02,16360.149000000001,16369.947,15947.05275,15809.354000000001,signal_exit,3.7991999999995456,104290.1456000007
6001,2021-11-29 18:00:00+00:00,2021-11-30 07:00:00+00:00,0.02,16402.159,16331.759,16001.185,15867.527,signal_exit,-28.279999999999855,104261.8656000007
6002,2021-11-30 11:00:00+00:00,2021-11-30 19:00:00+00:00,0.03,16316.869,16208.419,16014.41575,15913.598000000002,signal_exit,-65.25000000000044,104196.5256000007
6001,2021-11-30 15:00:00+00:00,2021-12-01 01:00:00+00:00,0.03,16411.349,16196.017,16085.381,15976.724999999999,signal_exit,-129.37919999999912,104067.23640000071
6001,2021-12-01 07:00:00+00:00,2021-12-01 17:00:00+00:00,0.02,16381.239,16338.769,15962.972625,15823.550500000001,signal_exit,-17.107999999999738,104050.06840000072
6002,2021-12-01 07:00:00+00:00,2021-12-01 17:00:00+00:00,0.02,16381.239,16338.769,15962.972625,15823.550500000001,signal_exit,-17.107999999999738,104033.02040000072
6001,2021-12-06 20:00:00+00:00,2021-12-09 10:00:00+00:00,0.01,15838.599,16355.839,15265.621500000001,15074.629,signal_exit,103.38799999999996,104136.34840000073
6002,2021-12-07 14:00:00+00:00,2021-12-09 20:00:00+00:00,0.02,16122.939,16203.739,15722.990625,15589.6745,signal_exit,32.199999999999704,104168.60840000072
6001,2021-12-13 01:00:00+00:00,2021-12-13 15:00:00+00:00,0.02,16385.858999999997,16272.409,16034.325374999997,15917.147499999997,signal_exit,-45.49999999999885,104123.04840000073
6002,2021-12-13 01:00:00+00:00,2021-12-13 17:00:00+00:00,0.02,16385.858999999997,16136.089,16034.325374999997,15917.147499999997,signal_exit,-100.02799999999873,104023.08040000073
6001,2021-12-15 21:00:00+00:00,2021-12-16 17:00:00+00:00,0.02,16286.319,15981.107,15809.899125,15651.0925,signal_exit,-122.20479999999984,103900.81560000074
6002,2021-12-16 00:00:00+00:00,2021-12-16 17:00:00+00:00,0.02,16325.177,15981.107,15844.969625,15684.9005,signal_exit,-137.74799999999988,103763.12760000075
6001,2021-12-21 06:00:00+00:00,2021-12-21 15:00:00+00:00,0.02,15789.089,15672.249,15364.29275,15222.694000000001,signal_exit,-46.856000000000066,103716.27160000075
6001,2021-12-21 19:00:00+00:00,2021-12-28 18:00:00+00:00,0.02,15923.419,16503.199,15523.442125,15390.1165,signal_exit,231.7920000000003,103948.00360000075
6001,2021-12-29 09:00:00+00:00,2021-12-29 17:00:00+00:00,0.04,16547.269,16434.689000000002,16335.7615,16265.259000000002,signal_exit,-90.3039999999985,103857.69960000076
6002,2021-12-22 04:00:00+00:00,2021-12-29 20:00:00+00:00,0.02,15939.579,16499.857,15575.7015,15454.409,signal_exit,223.9912000000001,104081.75080000077
6001,2021-12-30 19:00:00+00:00,2021-12-31 05:00:00+00:00,0.04,16540.409,16410.399,16332.07475,16262.63,signal_exit,-104.24799999999873,103977.38280000078
6002,2021-12-30 19:00:00+00:00,2021-12-31 05:00:00+00:00,0.04,16540.409,16410.399,16332.07475,16262.63,signal_exit,-104.24799999999873,103873.25480000078
6001,2022-01-03 20:00:00+00:00,2022-01-04 16:00:00+00:00,0.03,16481.878999999997,16230.907,16201.953125,16108.6445,signal_exit,-150.76319999999876,103722.40160000078
6002,2022-01-04 06:00:00+00:00,2022-01-04 16:00:00+00:00,0.03,16538.698999999997,16230.907,16292.318374999999,16210.1915,executive_stop,-184.8551999999986,103537.63640000079
6001,2022-01-11 18:00:00+00:00,2022-01-13 08:00:00+00:00,0.01,15781.449,15870.947,15224.133375,15038.361499999999,signal_exit,17.839599999999916,103555.4460000008
6002,2022-01-11 21:00:00+00:00,2022-01-13 18:00:00+00:00,0.01,15842.439,15645.939,15292.49775,15109.184,signal_exit,-39.36000000000001,103516.1160000008
6001,2022-01-26 15:00:00+00:00,2022-01-27 01:00:00+00:00,0.01,14471.117,14171.769,13716.864875,13465.4475,signal_exit,-59.92959999999999,103456.1564000008
6002,2022-01-26 19:00:00+00:00,2022-01-27 05:00:00+00:00,0.01,14494.539,13945.457,13742.323125,13491.5845,signal_exit,-109.87640000000007,103346.3100000008
6001,2022-01-31 00:00:00+00:00,2022-02-03 00:00:00+00:00,0.01,14411.067000000001,14779.298999999999,13571.714625,13291.930500000002,signal_exit,73.58639999999963,103419.8664000008
6002,2022-01-31 04:00:00+00:00,2022-02-03 00:00:00+00:00,0.01,14507.629,14779.298999999999,13738.660000000002,13482.337000000001,signal_exit,54.273999999999646,103474.1704000008
6001,2022-02-07 15:00:00+00:00,2022-02-08 01:00:00+00:00,0.01,14796.929,14614.767,14254.987625,14074.340499999998,signal_exit,-36.49240000000005,103437.6780000008
6001,2022-02-09 02:00:00+00:00,2022-02-10 14:00:00+00:00,0.02,14778.879,14811.396999999999,14325.200625000001,14173.9745,signal_exit,12.887199999999282,103450.5052000008
6002,2022-02-09 12:00:00+00:00,2022-02-10 14:00:00+00:00,0.02,14914.179,14811.396999999999,14573.1645,14459.493,signal_exit,-41.23280000000043,103409.3324000008
6001,2022-02-15 10:00:00+00:00,2022-02-16 14:00:00+00:00,0.01,14517.709,14530.437,13980.866500000002,13801.919000000002,signal_exit,2.4855999999998315,103411.7880000008
6002,2022-02-16 02:00:00+00:00,2022-02-16 14:00:00+00:00,0.01,14569.759,14530.437,14073.925375,13908.647500000001,signal_exit,-7.924400000000024,103403.8936000008
6001,2022-02-17 09:00:00+00:00,2022-02-17 17:00:00+00:00,0.02,14514.799,14366.788999999999,14165.080000000002,14048.507000000001,signal_exit,-59.32400000000083,103344.5696000008
6001,2022-02-23 09:00:00+00:00,2022-02-23 17:00:00+00:00,0.01,14023.989,13818.499,13454.2245,13264.303,signal_exit,-41.15799999999996,103303.4116000008
6001,2022-02-25 00:00:00+00:00,2022-02-25 11:00:00+00:00,0.01,13865.189,13909.037,13032.531125000001,12754.978500000001,signal_exit,8.709599999999993,103312.12120000081
6001,2022-02-28 12:00:00+00:00,2022-03-01 17:00:00+00:00,0.01,13996.949,14040.529,13332.381125,13110.858499999998,signal_exit,8.655999999999988,103320.74720000081
6002,2022-02-25 20:00:00+00:00,2022-03-01 20:00:00+00:00,0.01,14116.959,14004.878999999999,13326.040500000001,13062.401,signal_exit,-22.476000000000354,103298.30120000082
6001,2022-03-02 20:00:00+00:00,2022-03-03 09:00:00+00:00,0.01,14245.609,14191.458999999999,13677.037750000001,13487.514000000001,signal_exit,-10.89000000000029,103287.38120000082
6002,2022-03-02 06:00:00+00:00,2022-03-03 19:00:00+00:00,0.01,14072.569,14129.449,13553.766062499999,13380.831749999998,signal_exit,11.316000000000205,103298.72720000082
6001,2022-03-09 11:00:00+00:00,2022-03-10 12:00:00+00:00,0.01,13519.867,13547.157,12791.8165,12549.133000000002,signal_exit,5.3979999999998105,103304.09520000083
6002,2022-03-10 01:00:00+00:00,2022-03-10 12:00:00+00:00,0.01,13745.139000000001,13547.157,13031.509875000002,12793.633500000004,signal_exit,-39.65640000000036,103264.46880000083
6001,2022-03-11 07:00:00+00:00,2022-03-11 17:00:00+00:00,0.02,13593.907000000001,13460.189,13168.423,13026.595000000001,signal_exit,-53.607200000000304,103210.80160000084
6002,2022-03-11 13:00:00+00:00,2022-03-11 21:00:00+00:00,0.02,13776.247000000001,13298.019,13303.277125,13145.6205,executive_stop,-191.4112000000004,103019.45040000083
6001,2022-03-15 19:00:00+00:00,2022-03-21 19:00:00+00:00,0.01,13379.579,14257.208999999999,12815.845999999998,12627.934999999998,signal_exit,175.46599999999984,103194.85640000083
6001,2022-03-22 08:00:00+00:00,2022-03-23 17:00:00+00:00,0.02,14386.099,14600.499,14031.403,13913.171,signal_exit,85.63999999999986,103280.49640000083
6002,2022-03-16 07:00:00+00:00,2022-03-23 20:00:00+00:00,0.02,13596.347,14445.669,13154.922125,13007.780499999997,signal_exit,339.60880000000003,103620.16520000083
6001,2022-03-24 10:00:00+00:00,2022-03-28 02:00:00+00:00,0.03,14544.737000000001,14709.646999999999,14248.958375000002,14150.365500000002,signal_exit,98.76599999999881,103718.93120000084
6001,2022-03-28 09:00:00+00:00,2022-03-30 16:00:00+00:00,0.02,14717.677,15152.409,14372.97475,14258.074,signal_exit,173.7728,103892.70400000084
6001,2022-03-31 11:00:00+00:00,2022-03-31 19:00:00+00:00,0.03,15132.009,14996.896999999999,14888.067187499999,14806.75325,signal_exit,-81.24720000000062,103811.45680000084
6001,2022-04-04 16:00:00+00:00,2022-04-05 17:00:00+00:00,0.03,15057.089,14884.407,14739.2945,14633.363000000001,signal_exit,-103.78920000000043,103707.60760000085
6002,2022-04-05 00:00:00+00:00,2022-04-05 17:00:00+00:00,0.02,15150.447,14884.407,14816.874375,14705.6835,signal_exit,-106.53600000000036,103601.13160000085
6001,2022-04-08 08:00:00+00:00,2022-04-08 16:00:00+00:00,0.02,14596.827000000001,14465.099,14204.487375,14073.7075,signal_exit,-52.8112000000004,103548.32040000086
6001,2022-04-13 21:00:00+00:00,2022-04-14 17:00:00+00:00,0.01,14217.209,14013.277,13727.219000000001,13563.889,signal_exit,-40.846400000000145,103507.44400000086
6002,2022-04-13 21:00:00+00:00,2022-04-14 17:00:00+00:00,0.01,14217.209,14013.277,13727.219000000001,13563.889,signal_exit,-40.846400000000145,103466.62760000087
6001,2022-04-19 02:00:00+00:00,2022-04-19 10:00:00+00:00,0.02,13953.989,13863.267,13515.64775,13369.534,signal_exit,-36.40879999999991,103430.21880000086
6001,2022-04-19 17:00:00+00:00,2022-04-20 18:00:00+00:00,0.02,14173.419,14050.627,13734.142125,13587.7165,signal_exit,-49.23679999999979,103380.92200000086
6002,2022-04-20 05:00:00+00:00,2022-04-20 18:00:00+00:00,0.02,14120.939,14050.627,13701.005375,13561.027500000002,signal_exit,-28.24479999999996,103352.73720000086
6001,2022-04-21 10:00:00+00:00,2022-04-21 18:00:00+00:00,0.02,14171.567000000001,13908.737,13796.928125000002,13672.0485,signal_exit,-105.25200000000072,103247.48520000087
6001,2022-04-26 00:00:00+00:00,2022-04-26 11:00:00+00:00,0.01,13522.219000000001,13497.859,12913.358875000002,12710.405500000003,signal_exit,-4.932000000000118,103242.55320000087
6001,2022-04-28 04:00:00+00:00,2022-04-28 15:00:00+00:00,0.01,13180.709,13134.189,12555.421625,12346.9925,signal_exit,-9.364000000000088,103233.18920000087
