fold,phase,policy,train_start,train_end,test_start,test_end,segment,start_time,end_time,trades,return_pct_on_initial,win_rate_pct,profit_factor,expectancy,max_drawdown_pct,max_consecutive_wins,max_consecutive_losses,sharpe_trade,gross_profit,gross_loss,net_pnl
3,train,baseline_observed,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,baseline_observed,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,49.529435656905626,40.140845070422536,2.909602209924228,34.8798842654265,-4.175793455485459,8,2,4.576023426072078,7546.647919377445,-2593.7043536868828,4952.9435656905625
3,train,time_12_96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,time_12_96,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,52.63433903691386,40.140845070422536,6.4236828967903845,37.06643594148863,-1.1617285807013253,8,2,6.455914697980193,6233.887745453811,-970.4538417624249,5263.433903691385
3,train,time_24_96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,time_24_96,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,46.41586530567636,40.140845070422536,6.11302523079421,32.68722908850448,-1.4663941830346778,8,2,6.148428894523116,5549.383054358045,-907.7965237904089,4641.586530567636
3,train,weak_tp_70_time_12_96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,weak_tp_70_time_12_96,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,51.80181718038248,40.140845070422536,6.337896039064163,36.48015294393133,-1.1652081986480234,8,2,6.456992988066819,6150.635559800673,-970.4538417624249,5180.181718038249
3,train,weak_tp_60_time_12_72,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,weak_tp_60_time_12_72,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,48.90941801000698,40.140845070422536,6.0398500067951115,34.44325211972322,-1.1749222332801597,8,2,6.394629835511874,5861.395642763124,-970.4538417624249,4890.9418010006975
3,train,be_selective_time_12_96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,be_selective_time_12_96,2025-02-03 03:30:00,2025-05-30 12:57:33.178,142,8.727956209802143,40.140845070422536,1.1628018322975404,6.1464480350719315,-7.111462337135189,8,8,0.7808849754136741,6233.887745453811,-5361.0921244735955,872.7956209802143
3,test,time_12_96,2025-02-01,2025-05-31 23:59:59.999999999,2025-06-01,2025-09-30 23:59:59.999999999,time_12_96,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,53.64644149255315,42.51968503937008,7.33975777353353,42.24129251382138,-1.0056065410862665,4,2,6.746927423474677,6210.834862037908,-846.190712782592,5364.644149255315
4,train,baseline_observed,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,baseline_observed,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,54.053171060574186,42.51968503937008,4.222248748079153,42.561552016200146,-1.5264213205208215,4,2,5.659212992589757,7082.815501946201,-1677.4983958887829,5405.317106057419
4,train,time_12_96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,time_12_96,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,53.64644149255315,42.51968503937008,7.33975777353353,42.24129251382138,-1.0056065410862665,4,2,6.746927423474677,6210.834862037908,-846.190712782592,5364.644149255315
4,train,time_24_96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,time_24_96,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,43.40195292743616,42.51968503937008,6.544441437562378,34.17476608459541,-1.0417940164983985,4,2,6.128859650760458,5122.996471477285,-782.8011787336671,4340.195292743617
4,train,weak_tp_70_time_12_96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,weak_tp_70_time_12_96,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,52.43690382330708,42.51968503937008,7.196818640430937,41.2889006482733,-1.0094567088434603,4,2,6.734069298424284,6089.881095113299,-846.190712782592,5243.690382330708
4,train,weak_tp_60_time_12_72,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,weak_tp_60_time_12_72,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,49.03221510728741,42.51968503937008,6.794463868086088,38.60804339156489,-1.0184545432172285,4,2,6.629965414992709,5749.412223511334,-846.190712782592,4903.221510728741
4,train,be_selective_time_12_96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,be_selective_time_12_96,2025-06-02 02:30:00,2025-09-30 03:09:42.199,127,10.924946803465412,42.51968503937008,1.213447063220703,8.6023203176893,-7.647212783636656,4,7,0.9833425068384722,6210.834862037908,-5118.3401816913665,1092.4946803465411
4,test,time_12_96,2025-06-01,2025-09-30 23:59:59.999999999,2025-10-01,2026-01-31 23:59:59.999999999,time_12_96,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,70.9446060036101,50.0,12.432362250107277,54.572773848930844,-1.2869528689855116,8,2,8.362193288358606,7715.020065251518,-620.5594648905076,7094.46060036101
5,train,baseline_observed,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,baseline_observed,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,74.81755229991042,50.0,5.770712445572173,57.551963307623396,-1.854899255821116,8,2,7.189493225519168,9050.023138683599,-1568.2679086925596,7481.755229991041
5,train,time_12_96,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,time_12_96,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,70.9446060036101,50.0,12.432362250107277,54.572773848930844,-1.2869528689855116,8,2,8.362193288358606,7715.020065251518,-620.5594648905076,7094.46060036101
5,train,time_24_96,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,time_24_96,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,57.19150319950263,50.0,11.419412011813044,43.993463999617404,-0.6621918796999592,8,2,7.539784089208391,6268.044087992657,-548.8937680423958,5719.150319950262
5,train,weak_tp_70_time_12_96,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,weak_tp_70_time_12_96,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,69.16368198768569,50.0,12.145375407317173,53.20283229821976,-1.2905475580747046,8,2,8.367925714695359,7536.927663659076,-620.5594648905076,6916.368198768569
5,train,weak_tp_60_time_12_72,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,weak_tp_60_time_12_72,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,66.23302587341713,50.0,11.673115087383831,50.9484814410901,-1.2960850571828724,8,2,8.307185511749669,7243.862052232221,-620.5594648905076,6623.302587341714
5,train,be_selective_time_12_96,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,be_selective_time_12_96,2025-10-01 04:30:00,2026-02-01 20:10:14.101,130,37.67695372185676,50.0,1.954493401265998,28.982272093735972,-3.809256176019836,8,4,3.3271414644593027,7715.020065251518,-3947.324693065841,3767.695372185676
5,test,time_12_96,2025-10-01,2026-01-31 23:59:59.999999999,2026-02-01,2026-05-31 23:59:59.999999999,time_12_96,2026-02-01 20:30:00,2026-05-29 11:41:51.693,116,54.207921270923265,41.37931034482759,6.509853258995745,46.73096661286488,-1.4787926455602212,4,2,5.8531053120338825,6404.628151807137,-983.836024714812,5420.792127092326
