direction,window_ny,days,volatility,median_pf,min_pf,median_return,min_return,worst_dd,total_trades,median_dsr,fold_pfs,score
buy,09_16,mon_thu,all,1.4655458669010448,0.44454417429721893,1.920041317580723,-2.6645476035198623,-5.464538822127779,34,0.04581945306371092,4.337|0.445|1.678|1.253,0.9825181803229799
both,all,mon_thu,high,1.1128183504628093,0.560261834220051,0.8859151051874181,-2.6140821003660664,-5.053028774797865,52,0.016285820329810623,0.560|1.121|2.429|1.104,0.9576056365567607
both,07_17,all,high,1.1442200165609413,0.7866682180089537,0.25674178810642934,-2.1084647905666,-5.697186511305821,31,0.01362788572955664,inf|0.787|1.071|1.217,0.9372656342576962
both,08_17,all,all,1.0482268630494156,0.4455648764634243,0.29192003385508647,-5.287315866791287,-8.521719145520951,61,0.012467999638242284,2.545|0.446|1.134|0.963,0.7755529654134108
buy,08_17,all,all,1.041605378638553,0.4455648764634243,0.25125173269380796,-5.287315866791287,-8.521719145520951,59,0.012181409809615545,2.545|0.446|1.134|0.949,0.74446748002521
both,09_16,all,all,1.0290273355130057,0.41467451570598923,0.18330917265301228,-4.497438021959477,-7.735574544172029,50,0.011459607127443542,2.555|0.415|1.122|0.936,0.6157596280458529
buy,09_16,all,all,1.0184642306371445,0.41467451570598923,0.14264087149173377,-4.497438021959477,-7.735574544172029,48,0.011092154488468946,2.555|0.415|1.122|0.915,0.5807163496305842
both,08_17,all,high,1.1455731058488017,0.49512640436609284,0.2581258536940023,-4.332734131730554,-8.45324093065895,25,0.01303832795203301,inf|0.495|1.071|1.220,0.4922912064224726
both,09_16,mon_thu,high,1.3060750482466925,0.0,-0.482588809349882,-2.6645476035198623,-5.464538822127779,17,0.02861667366402813,inf|0.445|2.168|0.000,0.147036330222166
buy,09_16,mon_thu,high,1.3060750482466925,0.0,0.028857700497292305,-2.6645476035198623,-5.464538822127779,16,0.028697507906964407,inf|0.445|2.168|0.000,0.14016696216922497
buy,17_03,all,high,0.8775845733367938,0.2730157013927177,-1.107219270929466,-2.927310249498083,-4.022158290551313,15,0.007504265769250777,0.273|0.498|1.257|inf,0.00036418645752744894
buy,17_03,mon_thu,all,0.8285937407099454,0.1840650344154067,-2.6275344227262245,-7.076505137266231,-7.361387398737687,31,0.0073655502798899665,0.400|0.184|1.257|3.228,-0.06098508100806288
both,17_03,all,high,0.8775845733367938,0.22393131580546366,-1.107219270929466,-3.8099271708153526,-4.855882861922759,16,0.007504265769250777,0.224|0.498|1.257|inf,-0.061731936270869814
both,17_03,mon_thu,all,0.8146700657228878,0.1840650344154067,-2.6275344227262245,-7.959122058583512,-8.241298417689483,32,0.007361070651668478,0.372|0.184|1.257|3.228,-0.08930698248931868
buy,17_03,mon_thu,high,0.7897573479226182,0.2730157013927177,-1.1839078776864187,-2.927310249498083,-4.173069116306282,13,0.0074057413594187235,0.273|0.322|1.257|inf,-0.11677695467883331
both,17_03,mon_thu,high,0.7897573479226182,0.22393131580546366,-1.1839078776864187,-3.8099271708153526,-4.855882861922759,14,0.007379369901814198,0.224|0.322|1.257|inf,-0.17435102692610227
buy,17_03,all,all,0.5361084808621936,0.2767649543953762,-3.5488622578647435,-6.368044043704413,-7.8634380113648,36,0.0012805838104748878,0.460|0.277|0.612|3.228,-0.2262622108999266
both,17_03,all,all,0.5200930384167137,0.2767649543953762,-3.5488622578647435,-7.2506609650216935,-7.979252293913179,37,0.001268668907756371,0.428|0.277|0.612|3.228,-0.23375446480240158
both,09_16,all,high,0.770507844782095,0.0,-0.9156582259951973,-3.5428562868987545,-6.785504501728854,22,0.006102734334705775,inf|0.473|1.068|0.000,-0.37699332566278143
buy,09_16,all,high,0.770507844782095,0.0,-0.404211716148023,-3.5428562868987545,-6.785504501728854,21,0.0062940596278442,inf|0.473|1.068|0.000,-0.38384059550568195
