z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
2.5,3.25,2.5,1.2812733840351473e-06,-14.977447280932378,-24.665857934574344,0.5371136598531585,68,-0.7359888213556529
2.25,3.25,3.0,4.848458195939632e-06,-15.407755620116847,-26.70755551677534,0.5461223630249721,96,-0.7414881223018772
3.0,3.0,2.5,9.374472897694548e-06,-14.326957283009683,-22.77541343431499,0.5149708827394752,48,-0.7421663827892989
3.0,2.5,3.0,1.3545119361510768e-06,-16.99540389188577,-23.670281478267118,0.5312395894516064,98,-0.7570645023466507
2.75,2.5,3.0,1.9960629575133626e-06,-17.868875064873947,-24.662374352214464,0.5444368263934087,118,-0.7575617999534455
2.75,3.0,2.5,2.980344514875835e-06,-15.461661257047165,-25.644124134867084,0.5167181087384778,68,-0.7661161441618145
2.25,3.0,3.5,1.674818054946666e-06,-16.402694975004906,-26.116117359330048,0.5282080156126239,105,-0.7663978461160206
2.25,3.25,2.5,4.0910258250505967e-07,-18.32914156492445,-27.714583641314803,0.5545716271759784,97,-0.7672922975772576
3.0,2.75,2.5,1.592752174193171e-05,-16.588772948484667,-24.52592950366854,0.5170296315076858,67,-0.7714718179737617
2.5,2.5,3.5,3.097146400015846e-06,-18.046511921695775,-26.076566054795087,0.538317705463381,125,-0.7725271468811522
2.5,3.0,3.0,2.024360593088156e-06,-15.207240947119889,-28.14307595821089,0.5180920245098978,76,-0.7746937403917624
2.25,2.75,3.5,1.4901508659265684e-06,-18.380090722170518,-27.125107073920308,0.5280936732120625,124,-0.7913312792283783
2.5,2.75,3.0,6.231702241056971e-06,-17.00878341355965,-30.653569500744858,0.5289316046721992,95,-0.7944178452648805
2.75,2.75,2.5,5.577867313856002e-06,-17.824224974897675,-27.94129665851018,0.515168422507238,87,-0.8027747326669757
2.25,3.0,3.0,4.968510390241995e-07,-17.874714694645583,-30.42695245134135,0.5183603551505742,105,-0.8125210572015493
3.0,2.5,2.5,5.818136245354921e-07,-20.177501758967733,-24.716492312948834,0.5101213572351134,98,-0.8152355401056836
2.5,3.0,2.5,9.341381724126336e-08,-18.838702658895983,-28.94398639978227,0.5017982809875529,77,-0.831308584186501
2.25,2.5,3.5,1.1051452123488154e-07,-21.646877395410243,-27.921407026976812,0.5247485833274523,154,-0.8313271152470129
2.25,2.75,3.0,1.3946101059275713e-06,-19.67488796749369,-32.71271775742383,0.52369233864062,124,-0.8366187352113301
2.75,2.5,2.5,1.8076720713837273e-07,-21.580971695390073,-27.579017735331135,0.5161310080900589,118,-0.8375736167732903
2.25,3.0,2.5,7.405217438126552e-08,-21.750547907454468,-30.915759150364998,0.5302500411285502,106,-0.841834159645645
2.5,2.5,3.0,2.0906003598079463e-07,-20.544925219801662,-30.332900030260774,0.5134624652287281,126,-0.8436510780605564
2.5,2.75,2.5,4.5022943549555116e-07,-20.941554956632842,-30.707323669100496,0.5066377054006508,96,-0.8563140122817446
2.5,2.5,2.5,2.121814944964905e-08,-24.277233292059712,-30.885555337774452,0.5356998637665789,127,-0.861500224624741
2.25,2.5,3.0,4.93113139066107e-08,-23.285396413226003,-32.68722059867065,0.5292381318876647,155,-0.8670518859266346
2.25,2.5,2.5,1.1421820584768313e-08,-27.223225502834847,-32.62751378398321,0.5577501697137925,156,-0.8776196428126514
2.25,2.75,2.5,1.4889547766388213e-07,-24.117904237858777,-32.95483842890267,0.5214020904703267,125,-0.8845509951572967
