entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,strategy,final_lot,reason
2025-01-22 01:15:00,2025-01-22 01:30:00,17216,17217,BUY,2752.1499999999996,2747.9636799617906,SL,0.24,1,False,-101.91168091701677,-0.010191168091701676,9907.410061090337,TREND,,
2025-01-23 04:30:00,2025-01-23 05:45:00,17321,17326,BUY,2743.73,2749.8713295686753,,0.12,5,True,56.53465385010557,,9963.944714940442,MR,0.06,TP
2025-01-30 09:15:00,2025-01-30 10:45:00,17800,17806,BUY,2783.6699999999996,2793.003188942292,TP,0.27,6,True,190.9492381407107,0.01909492381407107,10154.893953081153,TREND,,
2025-01-30 11:15:00,2025-01-30 12:00:00,17808,17811,BUY,2793.74,2789.2191720300416,SL,0.23,3,False,-105.3590433090384,-0.01053590433090384,10049.534909772115,TREND,,
2025-02-10 10:15:00,2025-02-10 11:15:00,18448,18452,BUY,2909.8529999999996,2904.312882341016,SL,0.18,4,False,-100.80211786170281,-0.01008021178617028,9948.732791910412,TREND,,
2025-02-10 12:00:00,2025-02-10 13:15:00,18455,18460,SELL,2900.8,2906.406883399367,SL,0.18,5,False,-102.00390118860201,-0.010200390118860201,9846.72889072181,TREND,,
2025-03-05 08:45:00,2025-03-05 09:45:00,19996,20000,BUY,2899.83,2914.205,,0.06,4,True,60.194012818400225,,9906.92290354021,MR,0.03,TP
2025-03-06 19:15:00,2025-03-06 20:30:00,20126,20131,BUY,2899.453,2908.5479975921585,,0.07,5,True,49.679328128862,,9956.602231669072,MR,0.03,TP
2025-03-27 05:45:00,2025-03-27 08:00:00,21460,21469,BUY,3052.33,3046.6345203675305,SL,0.17,9,False,-97.84315375198004,-0.009784315375198005,9858.759077917091,TREND,,
2025-03-28 03:30:00,2025-03-28 03:45:00,21543,21544,SELL,3065.88,3071.424291672182,SL,0.18,1,False,-100.87725009927188,-0.010087725009927188,9757.881827817819,TREND,,
2025-04-16 04:30:00,2025-04-16 11:45:00,22735,22764,BUY,3299.5099999999998,3325.2941871151133,TP,0.09,29,True,179.8493098057947,0.017984930980579468,9937.731137623614,TREND,,
2025-04-24 18:30:00,2025-04-24 19:45:00,23247,23252,SELL,3363.09,3347.720727940948,,0.05,5,True,63.334123708501195,,10001.065261332114,MR,0.03,TP
2025-04-25 00:00:00,2025-04-25 01:45:00,23269,23276,BUY,3323.39,3294.7165316013347,,0.04,7,False,-114.93387359466054,,9886.131387737454,MR,0.04,SL
2025-04-25 09:45:00,2025-04-25 13:45:00,23308,23324,SELL,3278.36,3294.872197662709,SL,0.06,16,False,-99.4331859762527,-0.00994331859762527,9786.6982017612,TREND,,
2025-04-30 04:15:00,2025-04-30 08:15:00,23562,23578,BUY,3285.0299999999997,3284.3973247729427,,0.04,16,False,-2.7707009082280276,,9783.927500852973,MR,0.04,TP
2025-05-01 08:15:00,2025-05-01 08:30:00,23670,23671,SELL,3206.42,3221.7077520806156,SL,0.06,1,False,-92.08651248369311,-0.009208651248369311,9691.84098836928,TREND,,
2025-05-05 15:45:00,2025-05-05 20:45:00,23884,23900,BUY,3334.424,3322.7087600526124,SL,0.08,16,False,-94.20191957910036,-0.009420191957910036,9597.63906879018,TREND,,
2025-05-12 03:15:00,2025-05-12 03:45:00,24294,24296,BUY,3246.18,3215.885894803493,,0.03,2,False,-91.06231558952021,,9506.57675320066,MR,0.03,SL
2025-05-14 09:15:00,2025-05-14 09:30:00,24502,24503,SELL,3179.1400000000003,3191.266598309667,SL,0.08,1,False,-97.49278647733489,-0.009749278647733488,9409.083966723325,TREND,,
2025-05-15 20:45:00,2025-05-15 23:00:00,24636,24645,SELL,3235.94,3208.4852175794163,TP,0.09,9,True,191.5434769440862,0.01915434769440862,9600.62744366741,TREND,,
2025-05-20 10:00:00,2025-05-20 10:15:00,24873,24874,SELL,3260.94,3285.2859343806144,,0.04,1,False,-97.62373752245752,,9503.003706144953,MR,0.04,SL
2025-06-03 10:30:00,2025-06-03 18:00:00,25785,25811,SELL,3346.11,3355.853599217951,SL,0.1,26,False,-98.0359921795076,-0.00980359921795076,9404.967713965445,TREND,,
2025-06-24 02:30:00,2025-06-24 04:15:00,27123,27130,SELL,3322.44,3332.21506471748,SL,0.1,7,False,-98.35064717479835,-0.009835064717479835,9306.617066790646,TREND,,
2025-06-24 08:30:00,2025-06-24 09:30:00,27147,27151,SELL,3313.2400000000002,3313.2900000000004,SL,0.1,4,True,110.97454998339563,0.011097454998339563,9417.591616774042,TREND,,
