entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,initial_lot,final_lot,pnl,reason,bars_held,partial_done,balance,tick_status,tick_entry_time,tick_exit_time,tick_entry_price,tick_exit_price,tick_pnl,tick_reason,tick_cashflows
2024-11-04 21:45:00,2024-11-04 22:30:00,12276,12279,BUY,2726.23,2733.452270843521,0.11,0.05,60.09584653788565,TP,3,True,10135.701036757684,OK,2024-11-04 21:45:00.042,2024-11-04 22:42:45.421,2726.425,2733.525,59.19999999999922,TP,2
2024-11-12 20:30:00,2024-11-12 23:45:00,12823,12836,SELL,2608.05,2608.1000000000004,0.11,0.05,2.519172076575014,BE_AFTER_PARTIAL,13,True,10138.220208834258,OK,2024-11-12 20:30:00.114,2024-11-12 23:56:15.633,2608.125,2608.135,3.309999999999345,BE_AFTER_PARTIAL,2
2024-11-18 20:15:00,2024-11-18 21:00:00,13190,13193,SELL,2617.57,2617.6200000000003,0.14,0.07,19.049167784924663,SL,3,True,10157.269376619184,OK,2024-11-18 20:15:00.182,2024-11-18 21:02:56.833,2617.645,2617.655,29.189999999999745,SL,2
2024-11-27 00:45:00,2024-11-27 01:45:00,13760,13764,SELL,2644.869,2644.9190000000003,0.1,0.05,18.116042801818278,SL,4,True,10175.385419421002,OK,2024-11-27 00:45:00.128,2024-11-27 01:51:02.659,2644.944,2644.945,18.989999999998325,SL,2
2024-11-27 04:00:00,2024-11-27 06:00:00,13773,13781,SELL,2653.29,2646.4735307619367,0.09,0.05,50.26539398149996,TP,8,True,10225.650813402504,OK,2024-11-27 04:00:00.176,2024-11-27 06:12:52.584,2653.365,2646.356,51.74499999999759,TP,2
2024-11-27 20:15:00,2024-11-27 22:15:00,13834,13842,BUY,2628.06,2628.01,0.1,0.05,8.508183666278363,BE_AFTER_PARTIAL,8,True,10234.15899706878,FORCED_EXIT,2024-11-27 20:15:00.016,2024-11-27 22:15:00.081,2628.255,2626.855,1.5949999999992537,FORCED_EXIT,2
2024-11-28 21:15:00,2024-11-29 02:30:00,13920,13941,SELL,2656.24,2659.278627874806,0.09,0.09,-27.887650873250127,TP,21,False,10206.27134619553,FORCED_EXIT,2024-11-28 21:15:00.173,2024-11-29 02:30:00.515,2656.315,2662.012,-51.81300000000105,FORCED_EXIT,1
2024-12-13 04:00:00,2024-12-13 07:00:00,14858,14870,BUY,2674.84,2663.0894751037467,0.09,0.09,-106.2947240662766,SL,12,False,10099.976622129254,OK,2024-12-13 04:00:00.101,2024-12-13 07:00:52.084,2675.102,2663.348,-106.32599999999914,SL,1
2025-01-19 18:30:00,2025-01-19 20:30:00,17015,17023,BUY,2692.21,2692.16,0.09,0.05,12.116441773139703,BE_AFTER_PARTIAL,8,True,10112.093063902394,FORCED_EXIT,2025-01-19 18:30:00.000,2025-01-19 20:30:00.057,2693.005,2692.955,-0.9900000000016371,FORCED_EXIT,1
2025-01-23 04:30:00,2025-01-23 05:45:00,17321,17326,BUY,2743.73,2749.8713295686757,0.12,0.06,56.53465385010557,TP,5,True,10168.6277177525,OK,2025-01-23 04:30:00.044,2025-01-23 05:47:39.309,2744.145,2749.925,53.70000000000098,TP,2
