z_entry_long,z_entry_short,mr_sl_atr_mult,median_dsr_probability,median_return_pct,worst_drawdown_pct,median_profit_factor,min_fold_trades,robust_score
2.5,2.75,3.0,0.01745864514784751,0.481067622996767,-3.4599116798667153,1.0632799215435726,34,0.06824968452205425
2.5,3.25,3.5,0.015119482936659588,0.20978524797852227,-3.519222013944127,1.0437652250079084,25,0.04338645035463254
2.5,3.0,2.5,0.016836239884346665,0.29657996271266196,-4.404853325538367,1.0400710845089194,28,0.03784885739270084
2.5,3.25,2.5,0.019670680032470696,0.09623086437535178,-4.680405621988749,1.0274260082440714,25,0.024656968810351846
3.0,2.75,2.5,0.014219478600578914,0.1630393314776324,-5.778886322545866,1.0312478945833126,17,0.01820333488593847
2.5,2.75,3.5,0.01400755470900332,0.12311178259528655,-3.362900760794337,1.0143316959926243,34,0.012755864723608793
2.25,2.75,2.5,0.014722394695060089,-0.2939488425034664,-6.911312477814331,0.9960859748262926,54,-0.026687681292753656
2.5,2.75,2.5,0.011157184776638539,-0.21542391660950289,-5.298344176366783,0.9834211882753079,34,-0.034067586995982516
2.75,2.75,3.5,0.01073216208420897,-0.21129813473099723,-4.203627706873855,0.9738378857828682,21,-0.038561072014602044
2.25,2.5,3.5,0.011057262278369784,-0.4763951438153391,-6.9591492977328,0.9724788682566836,64,-0.05602356739176399
2.75,3.0,2.5,0.00991986408756517,-0.23130428257965852,-3.915774816896859,0.9541010135939965,15,-0.05787103922871925
3.0,2.5,3.5,0.010035076450073495,-0.2709491860910296,-7.967135120110681,0.9561953228062474,27,-0.0763147682051428
3.0,2.5,3.0,0.01016318287071659,-0.3192132146085658,-9.318699182655656,0.9557486073099787,27,-0.08387383787866867
2.75,3.25,2.5,0.014116562797800658,-0.23797977960767214,-3.9449933802330306,0.9227295253764147,12,-0.08525867652302649
2.25,2.5,3.0,0.007541631858926649,-1.24013040352694,-6.634679267989458,0.9297826412562932,64,-0.10825042725999687
2.75,2.5,3.0,0.008174273964435042,-0.6220705269598503,-8.462149602984919,0.9318714571934907,31,-0.10848572212659732
2.75,2.5,3.5,0.006770022096273993,-0.8010718942153106,-7.179992753497134,0.9042342206985317,31,-0.13290643991483314
2.5,2.5,3.0,0.006781883194568391,-1.2808629241206848,-6.932398588910893,0.9076109845050407,44,-0.13307775448615217
2.75,2.75,2.5,0.006191220387096292,-0.9922204967401926,-4.754036208229795,0.869045578140986,21,-0.15845558748046856
2.5,2.5,3.5,0.004531295288487832,-1.5943907516380362,-6.269525154151251,0.8684046194461126,44,-0.1743556185525362
2.25,2.5,2.5,0.004648733062152937,-2.431195459188057,-8.431565602135418,0.8839965443706574,64,-0.1778245051697473
3.0,2.5,2.5,0.006123780611040028,-0.9912349737352888,-9.320454372997848,0.869504100233947,27,-0.18088674075735514
2.75,2.5,2.5,0.004511560775466331,-1.9630533639129644,-8.303217892688439,0.8026352982517899,31,-0.2539997640753156
2.5,2.5,2.5,0.002095819598942019,-2.8706690161241557,-7.767511327096815,0.8059821059257726,44,-0.2594663212720111
3.0,3.25,3.0,0.062343549481101435,0.4558511938335952,-2.9767158068228237,1.782714681607966,8,-0.44798151761467675
3.0,3.25,3.5,0.0436687754621723,0.043862258682114685,-3.0470203202512103,1.4893068468421589,8,-0.4818208567101038
3.0,3.25,2.5,0.013229524046095483,-0.36722629545589136,-4.383951763022054,1.005992247723952,8,-1.0063702499996217
