threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,folds,mean_score,median_score,mean_pf,min_pf,mean_return,min_return,worst_dd,mean_dsr,total_trades,robust_score
0.65,0.4,2.5,1.5,True,4,-2.411071404249111,-2.657721336969871,0.9997821459415858,0.7277138790375038,2.0475240388276275,-16.093681407459204,-25.503233561392523,0.09462284655596395,544,-2.99941483661654
0.65,0.3,2.0,2.5,True,4,-2.161347486862291,-2.628915977431247,1.0209035042951198,0.6145723997526659,5.555755728333054,-23.02259212682618,-28.100741784836085,0.17521551250984557,492,-3.068059971136348
0.65,0.35,2.0,2.5,True,4,-2.161347486862291,-2.628915977431247,1.0209035042951198,0.6145723997526659,5.555755728333054,-23.02259212682618,-28.100741784836085,0.17521551250984557,492,-3.068059971136348
0.65,0.4,2.0,2.5,True,4,-2.184366685772053,-2.674954375250771,1.0145322762595215,0.6145723997526659,5.070227686658069,-23.02259212682618,-28.100741784836085,0.17508057379242242,491,-3.1206045357088934
0.65,0.35,2.0,2.0,True,4,-2.367409791113505,-2.6959743588341727,1.0015179843635138,0.7084345932690188,3.18534367436101,-18.07379045094327,-27.29230763502689,0.11220044632121529,550,-3.127609214410221
0.65,0.3,2.0,2.0,True,4,-2.367409791113505,-2.6959743588341727,1.0015179843635138,0.7084345932690188,3.18534367436101,-18.07379045094327,-27.29230763502689,0.11220044632121529,550,-3.127609214410221
0.65,0.4,2.0,2.0,True,4,-2.382439679932423,-2.72603413647201,0.9969472771371188,0.7084345932690188,2.8899303290055993,-19.255443832364914,-27.29230763502689,0.11219423499583735,549,-3.1740624444140475
0.6,0.3,2.0,2.0,True,4,-2.81129341423178,-2.8114918836411924,0.9989185452947382,0.9642843939945848,-0.27506885745500487,-5.9599474762727755,-27.66684298877372,0.010825591091448903,1050,-3.244689371456419
0.7,0.4,3.0,2.0,True,4,-3.87499663967426,-3.334800303392554,0.8873274357197609,0.65306561289231,-2.720544727099683,-6.893387971856413,-15.01093657675755,0.00579103122983246,231,-3.2611625449994026
0.7,0.3,3.0,2.0,True,4,-3.87499663967426,-3.334800303392554,0.8873274357197609,0.65306561289231,-2.720544727099683,-6.893387971856413,-15.01093657675755,0.00579103122983246,231,-3.2611625449994026
0.7,0.35,3.0,2.0,True,4,-3.87499663967426,-3.334800303392554,0.8873274357197609,0.65306561289231,-2.720544727099683,-6.893387971856413,-15.01093657675755,0.00579103122983246,231,-3.2611625449994026
0.6,0.4,2.0,2.0,True,4,-2.824163746515361,-2.863691629122439,0.9976481890682904,0.9683937650102078,-0.5734678442420261,-5.228352980914497,-27.54546291514074,0.009497016085932845,1050,-3.2861030995343974
0.6,0.35,2.0,2.0,True,4,-2.846190982134412,-2.8800430129325445,0.9946179429677572,0.9642843939945848,-1.09315650445031,-5.9599474762727755,-27.675999471139885,0.009106038183173373,1051,-3.319718480101336
0.7,0.3,2.0,2.5,True,4,-4.725530768246407,-5.825128935761588,0.958761632056215,0.7429717882821567,-0.5490059618605434,-6.054358160116968,-14.26300941169566,0.023567607841975695,266,-5.61649374804935
0.7,0.4,2.0,2.5,True,4,-4.725530768246407,-5.825128935761588,0.958761632056215,0.7429717882821567,-0.5490059618605434,-6.054358160116968,-14.26300941169566,0.023567607841975695,266,-5.61649374804935
0.7,0.35,2.0,2.5,True,4,-4.725530768246407,-5.825128935761588,0.958761632056215,0.7429717882821567,-0.5490059618605434,-6.054358160116968,-14.26300941169566,0.023567607841975695,266,-5.61649374804935
0.7,0.3,2.5,1.5,True,4,-4.720016658642868,-5.784327390466402,0.9071812689427796,0.7171675244181616,-2.618333878669765,-6.459925011105172,-14.913799698605276,0.008229547712911714,287,-5.679205808852027
0.7,0.4,2.5,1.5,True,4,-4.720016658642868,-5.784327390466402,0.9071812689427796,0.7171675244181616,-2.618333878669765,-6.459925011105172,-14.913799698605276,0.008229547712911714,287,-5.679205808852027
0.7,0.35,2.5,1.5,True,4,-4.720016658642868,-5.784327390466402,0.9071812689427796,0.7171675244181616,-2.618333878669765,-6.459925011105172,-14.913799698605276,0.008229547712911714,287,-5.679205808852027
0.7,0.3,2.0,1.5,True,4,-6.285446342212098,-5.714244786478784,0.8900630914847707,0.6394442705039074,-3.4528962167678925,-9.419660358013937,-17.31502692401408,0.004229761477720952,338,-5.779899883297135
0.7,0.35,2.0,1.5,True,4,-6.285446342212098,-5.714244786478784,0.8900630914847707,0.6394442705039074,-3.4528962167678925,-9.419660358013937,-17.31502692401408,0.004229761477720952,338,-5.779899883297135
0.7,0.4,2.0,1.5,True,4,-6.285446342212098,-5.714244786478784,0.8900630914847707,0.6394442705039074,-3.4528962167678925,-9.419660358013937,-17.31502692401408,0.004229761477720952,338,-5.779899883297135
0.65,0.3,3.0,2.0,True,4,-3.6388659053558334,-5.746644031773319,1.0260302506420431,0.6798731964786697,3.2424578535681077,-14.293574285500165,-22.30875010959121,0.1402030261079754,397,-5.838784003357863
0.65,0.35,3.0,2.0,True,4,-3.6388659053558334,-5.746644031773319,1.0260302506420431,0.6798731964786697,3.2424578535681077,-14.293574285500165,-22.30875010959121,0.1402030261079754,397,-5.838784003357863
0.65,0.4,3.0,2.0,True,4,-3.650012397345911,-5.768937015753474,1.023165686674515,0.6798731964786697,3.067840616005464,-14.293574285500165,-22.30875010959121,0.1400004455350375,396,-5.864144131878484
0.7,0.4,2.5,2.0,True,4,-4.961271980791126,-6.036009040428382,0.9301413140523781,0.7316202993335229,-1.7790738705171338,-6.393547011672707,-14.343720437366466,0.012319137784448427,252,-5.874670080576606
0.7,0.3,2.5,2.0,True,4,-4.961271980791126,-6.036009040428382,0.9301413140523781,0.7316202993335229,-1.7790738705171338,-6.393547011672707,-14.343720437366466,0.012319137784448427,252,-5.874670080576606
0.7,0.35,2.5,2.0,True,4,-4.961271980791126,-6.036009040428382,0.9301413140523781,0.7316202993335229,-1.7790738705171338,-6.393547011672707,-14.343720437366466,0.012319137784448427,252,-5.874670080576606
0.65,0.3,2.5,2.5,True,4,-3.5516040931692054,-5.862984003948446,1.07435758031741,0.7834669298012907,6.3477666692490935,-11.708907719672501,-24.776654249356277,0.18422236200085712,415,-5.9603258512947175
0.65,0.35,2.5,2.5,True,4,-3.5516040931692054,-5.862984003948446,1.07435758031741,0.7834669298012907,6.3477666692490935,-11.708907719672501,-24.776654249356277,0.18422236200085712,415,-5.9603258512947175
0.65,0.4,2.5,2.5,True,4,-3.5611603603829947,-5.882096538376024,1.0717576832853508,0.7834669298012907,6.165584050704819,-11.708907719672501,-24.776654249356277,0.18408827988528714,414,-5.982172364869925
0.7,0.35,2.5,2.5,True,4,-5.409732584779483,-6.396474957252131,0.8649146201376926,0.6603951003637196,-4.140093114647723,-10.526422509929779,-17.430705041753463,0.004694334123758649,238,-6.50366548017765
0.7,0.3,2.5,2.5,True,4,-5.409732584779483,-6.396474957252131,0.8649146201376926,0.6603951003637196,-4.140093114647723,-10.526422509929779,-17.430705041753463,0.004694334123758649,238,-6.50366548017765
0.7,0.4,2.5,2.5,True,4,-5.409732584779483,-6.396474957252131,0.8649146201376926,0.6603951003637196,-4.140093114647723,-10.526422509929779,-17.430705041753463,0.004694334123758649,238,-6.50366548017765
0.7,0.35,3.0,2.5,True,4,-5.655165047241151,-6.8251708305633345,0.8924547887659525,0.7815043277041434,-3.1885295855289684,-6.8438746087945095,-18.887056895677713,0.003777950425895519,213,-6.9417296822433165
0.7,0.3,3.0,2.5,True,4,-5.655165047241151,-6.8251708305633345,0.8924547887659525,0.7815043277041434,-3.1885295855289684,-6.8438746087945095,-18.887056895677713,0.003777950425895519,213,-6.9417296822433165
0.7,0.4,3.0,2.5,True,4,-5.655165047241151,-6.8251708305633345,0.8924547887659525,0.7815043277041434,-3.1885295855289684,-6.8438746087945095,-18.887056895677713,0.003777950425895519,213,-6.9417296822433165
